	Control.A01	Control.A02	Control.A03	Control.A04	Control.A05	Control.A06	Control.A07	Control.A08	Control.A09	Control.A10	Control.A11	Control.A12	Control.A13	Control.A14	Control.A15	Control.A16	Control.A17	Control.A18	Control.A19	Control.A20	Control.A21	Control.A22	Control.A23	Control.A24	Control.A25	Control.A26	Control.A27	Control.A28	Control.C01	Control.C02	Control.C03	Control.C04	Control.C05	Control.C06	Control.C07	Control.C08	Control.C09	Control.C10	Control.C11	Control.C12	Control.C13	Control.C14	Control.C15	Control.C17	Control.C18	PsO.A01	PsO.A02	PsO.A03	PsO.A04	PsO.A05	PsO.A06	PsO.A07	PsO.A08	PsO.A09	PsO.A10	PsO.A11	PsO.A12	PsO.A13	PsO.A14	PsO.A15	PsO.A16	PsO.A17	PsO.A18	PsO.A19	PsO.A20	PsO.A21	PsO.A22	PsO.A23	PsO.A24	PsO.A25	PsO.A26	PsO.A27	PsO.A28	PsO.C03	PsO.C04	PsO.C05	PsO.C06	PsO.C07	PsO.C08	PsO.C09	PsO.C10	PsO.C11	PsO.C12	PsO.C14	PsO.C15	PsO.C16	PsO.C17	PsO.C18	PsO.C19	PsO.C20	PsO.C21	PsO.C22	PsO.C23	PsO.C24	PsO.C25	PsO.C26	PsO.C27	PsO.C28	PsO.C29	PsO.C30	PsO.C31	PsO.C32	PsO.C33	PsO.C34	PsO.C35	PsO.C36	PsO.C37	PsO.C38	PsO.C39	PsO.C40	PsO.C41	PsO.C42	PsO.C43	PsO.C44	PsO.C45	PsO.C46	PsO.C47	PsO.C48	PsO.C49	PsO.C50	PsO.C51	PsO.C52	PsO.C53	PsO.C54	PsO.C55	PsO.C56	PsO.C57	PsO.C58	PsO.C59	PsO.C60	PsO.C61	PsO.C62	PsO.C63	PsO.C64	PsO.C65	PsO.C66	PsO.C67	PsO.C68	PsO.C69	PsO.C70	PsO.C71	PsO.C72	PsO.C73
GLYOXYLATE-BYPASS: glyoxylate cycle	0.000751773	7.24E-05	0.000542731	6.13E-05	0.000294772	0.000145027	0.000919892	2.42E-05	0.00115537	0.000226963	6.54E-05	4.41E-05	0.000223111	0.000860565	0.00143973	0.000112716	0.000264406	2.71E-05	0.000357698	9.22E-05	6.74E-05	0.000889178	0.000209647	1.78E-05	0.000330992	0.000112619	0.00063921	0.000847779	0.000292116	0.000186231	0.000346552	0.000594151	0.00151166	0.000122689	0.0035941	0.000357605	0.000943985	4.90E-05	0.00163855	0.000176569	0.000585322	3.86E-05	0.00289049	0.000567697	0.000315869	0.000556423	0.000860861	0.000579476	0.000252808	2.59E-05	0.000214512	0.0006281	0.000290929	0.000132516	0.000426125	0	3.38E-05	0.000192186	0.000353348	0.00288446	0.000122221	0.000889583	1.10E-05	0.00118247	4.19E-05	0.00209389	0.00106074	0.000189379	0.000148195	0.000675708	2.06E-05	0.000548677	0.0001351	9.41E-05	0.000141783	0.000260136	0.000454064	0.0019363	0.00117868	0.00160116	0.00057383	0.000116803	6.84E-06	0.000313481	6.83E-05	0.000182936	0.00034465	0.00106902	0.000217301	0.00156665	0.000684557	7.60E-05	0.000426408	0.000723626	0.000256974	7.94E-05	0.00108443	0.000168842	0.000224673	0.000451741	0.00105535	2.41E-05	0.000940205	5.90E-05	0.000131072	0.00118848	4.69E-05	2.81E-05	0.000139116	0.000581454	1.91E-05	0.000437385	7.39E-05	5.34E-05	0	0.000166392	0.000444715	6.06E-05	2.88E-05	0.000127414	0.000363918	0.00110112	0.000706502	0.000405263	0.000425666	9.34E-05	9.17E-05	1.94E-05	0.000413056	0.000405562	3.96E-05	0.000173391	0.000366437	0.000321279	7.44E-05	0.00132825	0.000672303	2.11E-05	4.41E-05	0.000431026	0.000646653	3.40E-05	2.76E-05
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol"	0.00130603	0.00023552	0.000283798	8.19E-05	0.00011774	0.000281892	0.000104535	4.03E-05	0.000172277	0.000172165	7.34E-05	8.77E-05	0.000403989	9.37E-05	0.000196829	0.00027407	0.000243096	0	0.000178381	0.000152959	0.000540153	0.000830147	0.000271799	0.000106968	0.000238853	0.000153238	0.000398272	0.000138084	0.000118646	0.000560099	0.00024212	0.000277361	0.00083448	0.000140455	0.000133759	0.000243456	0.000312309	0.000168793	4.53E-05	8.70E-05	0.000339564	0.000492344	0.00132345	0.000326188	0.00051518	7.84E-05	0.000286272	0.000124933	6.75E-05	9.07E-05	0.000120573	0.000475897	0.000256994	9.60E-05	4.53E-05	8.32E-05	5.83E-05	2.95E-05	0.00055357	0.00250484	8.82E-05	8.35E-05	2.43E-05	0.000575232	8.12E-05	0.00128532	0.000112613	0.000196811	0.000431233	0.000368608	7.05E-05	0.000353775	0.000100643	9.76E-05	0.000170911	0.000352148	0.000540684	0.000266531	0.000141313	0.000576	0.000172159	0.00022113	1.51E-05	0.00012653	8.53E-05	0.000178196	0.000119387	0.000181908	0.000235909	0.00146214	0.000421548	7.49E-05	0.000318032	0.000103678	0.00013068	7.32E-05	5.81E-05	0.000153771	8.02E-05	0.000247881	0.000161122	0.000118207	0.000377959	6.12E-05	0.000139386	0.000310646	0.000118999	2.90E-05	0.000118282	0.000264249	0.000282656	3.43E-05	4.82E-05	7.43E-05	2.39E-05	0.000223893	0.000173998	2.96E-05	3.42E-05	0.000158696	0.000151043	0.00072395	8.68E-05	0.000412935	0.000226955	0.000240819	0.000117873	0.000223546	0.000382501	0.000120733	5.18E-05	0.000105266	0.000105443	0.000250911	7.85E-05	0.000260626	0.000109039	0.000194535	0.000124895	5.79E-05	0.000304017	0.000387468	1.64E-05
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	0.00036198	1.47E-05	2.37E-05	2.97E-05	9.46E-05	5.59E-05	0.000528649	7.50E-06	0.000473317	2.64E-05	1.39E-05	0	6.86E-05	0.000346712	0.000593681	1.40E-05	4.04E-05	8.34E-06	0.000202706	9.34E-06	4.55E-06	0.000242736	5.33E-05	0	7.27E-05	1.57E-05	0.000169662	0.000368434	6.15E-05	0.000124276	5.92E-05	0.000207594	0.00114007	3.98E-05	0.0019452	0.000120925	0.000389394	6.84E-06	0.000734111	5.45E-05	0.000171726	1.22E-05	0.00137693	0.000187376	0.000140838	0.000212207	0.000394955	0.000122646	0.000110393	0	5.46E-05	0.000253725	1.44E-05	8.07E-05	0.000115084	0	0	5.65E-05	0.000159924	0.00169895	2.50E-05	0.000392324	0	0.000655463	0	0.000870466	0.000497182	7.71E-05	4.89E-05	0.000174679	4.44E-06	0.000220354	5.11E-05	8.63E-06	3.74E-05	0.000140132	0.000128385	0.000776246	0.00056256	0.0006217	0.000390991	0	0	9.13E-05	1.70E-05	8.74E-05	0.000100644	0.000509143	4.28E-05	0.000656963	0.000275727	1.50E-05	0.000147243	0.000116168	8.94E-05	0	0.000462981	9.27E-05	8.65E-05	0.000239918	0.000522949	0	0.000482991	0	8.92E-05	0.000477122	9.53E-06	9.70E-06	3.41E-05	0.000223579	0	0.000224556	3.62E-06	9.30E-06	0	7.25E-05	0.000315422	0	6.08E-06	2.47E-05	6.49E-05	0.000840811	0.000195158	3.72E-05	0.000168293	4.89E-05	8.89E-06	4.30E-06	0.000117833	6.69E-05	0	8.28E-05	8.35E-05	0.00012211	2.38E-05	0.000550138	0.000183686	0	0	9.09E-05	0.000177175	0	0
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	0.000449056	4.06E-05	0.000326296	3.19E-05	0.000102616	0.000295155	0.00081157	3.62E-05	0.000877119	0.000108186	2.84E-05	6.42E-05	0.000137279	0.000553356	0.000722404	7.43E-05	0.000157536	8.15E-05	0.000336549	0.000249407	0.000106896	0.000892787	0.000359343	0.000244523	0.000378938	3.87E-05	0.00031873	0.000504508	0.000102233	0.000166	6.00E-05	0.000239107	0.000852775	0.000168116	0.00256373	0.000237103	0.000676422	2.41E-05	0.00103869	5.75E-05	0.000242579	3.51E-05	0.00159778	0.000169397	0.000252351	0.000536191	0.000475396	0.000392182	0.000185578	0	0.000623058	0.000468864	0.000210596	0.000113891	0.000116978	0.000164527	9.31E-06	9.10E-05	0.000575685	0.00261895	2.89E-05	0.000678598	5.52E-05	0.000696592	3.01E-05	0.00104732	0.000709695	0.000189278	0.000160184	0.000547	3.44E-05	0.000402225	6.22E-05	4.57E-05	6.37E-05	0.000170094	0.000226715	0.00113473	0.000680345	0.00127634	0.000353609	4.15E-05	0	0.000189765	9.53E-05	0.000110318	0.000269444	0.000807251	0.000188555	0.00117623	0.000463386	4.20E-05	0.000420052	0.000250556	0.000174736	7.75E-05	0.000753528	0.00011711	0.000141684	0.000548591	0.000825733	1.45E-05	0.000607742	0.000611733	0.000130925	0.000906962	3.38E-05	2.42E-05	0.000251222	0.000308231	0	0.000429413	4.20E-05	0	0	0.000166959	0.000307403	4.37E-05	1.87E-05	7.58E-05	0.000127714	0.000694029	0.000323814	0.000273179	0.000241415	6.61E-05	1.07E-05	1.12E-05	0.000315531	0.000163471	3.02E-05	9.57E-05	0.000191615	0.000272301	2.09E-05	0.000776295	0.000326948	1.07E-05	9.94E-06	0.000170917	0.000233692	7.97E-06	0
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	0.000589414	7.52E-05	0.000382799	5.06E-05	0.000107302	0.000514128	0.00081157	0.000124011	0.000796127	0.000108186	0.000173656	7.34E-05	0.000193447	0.000845995	0.000709014	0.000134437	0.000157536	6.36E-05	0.000375059	0.000226049	0.000140359	0.000618033	0.000336682	0.000303498	0.000532883	0.000382645	0.000498767	0.000621679	0.000125862	0.000258444	0.000131108	0.000239107	0.00104168	0.000166636	0.00256373	0.000238803	0.000694706	2.41E-05	0.00106989	7.58E-05	0.00031028	0.00010708	0.00148187	0.000184164	0.000332199	0.000536191	0.000636816	0.000392182	0.000219033	0.000266929	0.000298962	0.000388964	0.000210596	0.000207136	0.00037415	0.000141397	0.000121074	0.000265389	0.00029202	0.00261895	0.000136321	0.000678598	0.000156926	0.00073593	7.86E-05	0.000980783	0.000796622	0.000209069	0.000466981	0.00052241	5.87E-05	0.000317379	6.22E-05	5.24E-05	0.000119927	0.000170094	0.000341934	0.00103363	0.000682654	0.00127634	0.000400453	0.000136601	6.51E-05	0.000299889	8.59E-05	0.000152436	0.000269061	0.000977386	0.000129916	0.000859317	0.000463386	7.39E-05	0.000420052	0.00029677	0.000209318	7.95E-05	0.000804799	0.00011711	0.000118054	0.000548591	0.000798591	0.000170862	0.000710764	0.000197131	0.000242739	0.000906962	8.44E-05	0.000121113	5.24E-05	0.00039258	1.03E-05	0.000429413	5.45E-05	0.000312655	0.000106869	0.000166959	0.000307403	0.000137585	0.000105761	0.0001526	0.000207025	0.000694029	0.000493343	0.000552373	0.000351247	0.000111668	6.17E-05	0.000130159	0.000315531	0.000244403	8.19E-05	0.000254185	0.000307532	0.000221476	0.000179466	0.00081864	0.000335405	9.12E-05	0.000116856	0.000196841	0.000259155	1.82E-05	0.000138181
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	0.000606468	7.57E-05	0.000460766	0.000264954	0.00039697	0.000587014	0.00100034	0.000362294	0.000986472	0.00045292	0.000364201	0.000105017	0.00042145	0.000660059	0.000948999	0.000136644	0.000199125	0.000236542	0.000480383	0.000671465	0.000120452	0.00112204	0.000489027	0.000358836	0.000673274	0.000684007	0.000575561	0.000738859	0.000256194	0.000303051	0.000180516	0.0010546	0.0011953	0.000244642	0.00257929	0.000418006	0.000955059	0.000275544	0.00130174	8.09E-05	0.000863219	0.000344675	0.00214186	0.000248408	0.000559868	0.000553912	0.000671796	0.00042202	0.000258059	0.000697551	0.000930575	0.000590331	0.000395606	0.000147485	0.000681375	0.000613762	0.00020691	0.000380377	0.00074795	0.00281769	0.000288713	0.00078962	0.000180791	0.000861914	0.000106692	0.00126567	0.000986215	0.000517938	0.000501809	0.000800097	0.000314233	0.000721742	0.000181294	0.00024044	0.000171472	0.00025108	0.00058415	0.00176095	0.000806006	0.00129608	0.00045973	0.000323637	0.000318513	0.000417623	0.000302036	0.000156875	0.000610321	0.00103493	0.000304332	0.0015226	0.00058656	0.000179776	0.000642227	0.000315249	0.000488705	0.000219253	0.000916173	0.000362277	0.000200047	0.0008975	0.000859157	0.000315365	0.000751103	0.000888929	0.000519046	0.000962352	0.000107921	0.000199635	0.000281403	0.0004839	1.03E-05	0.000480615	6.22E-05	0.000406529	0.00024343	0.000451653	0.000522619	0.000193605	0.000166944	0.000193996	0.000224101	0.000871525	0.000674139	0.0010084	0.000288628	0.000152673	6.44E-05	0.000282886	0.00052877	0.000559049	0.00010621	0.000278949	0.000354328	0.000495926	0.000656821	0.000932207	0.000506859	0.000158602	0.000312725	0.00026045	0.000384469	1.85E-05	0.000190714
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0.0010876	0.000237818	7.50E-05	0	4.14E-05	0.000500986	0.000968216	2.81E-05	0.00055488	0.000129197	1.29E-05	0	3.40E-05	0.000995058	0.00157928	3.35E-05	0.000163898	0	6.42E-05	0.000352276	9.64E-06	0.00114227	0	0	0.000538899	4.89E-05	0.000358298	0.00101922	0.000143085	0	0.000136821	0.000198308	0.00129902	0.000236618	0.00288823	0.00042648	0.00111925	0	0.0017935	0.000186899	0.000325572	3.89E-05	0.00194299	0.000320458	0.000132139	0.000763254	0.000950801	0.00048643	0.000284589	5.43E-05	0.00018046	0.000306064	0.00044867	0.000405044	0.000287255	0	3.97E-05	0.000247505	0.000101809	0.00167377	0.000111498	0.00138021	0	0.000855886	0	0.000945387	0.00110654	0.000466178	6.28E-05	0.000654304	1.05E-05	0.000336565	0.000254587	1.54E-05	0	0	0.000256722	0.00151449	0.00157657	0.00174061	4.91E-05	3.05E-05	0	0.000216211	2.54E-05	0.000240516	0.000642664	0.00167611	4.69E-05	0	0.000644307	6.55E-05	0.000314858	0.000547157	0.000228919	4.04E-05	0.00114834	0.000186191	0.000134994	0.00111959	0.00111679	0	0.000738024	2.05E-05	0.000197348	0.00167476	5.99E-05	6.12E-05	5.03E-05	0.000581112	0	0.000561389	6.26E-05	0.000218537	0	0.00019381	0.000467877	2.45E-05	6.58E-05	0.000102046	0.000196884	0.00140638	0.000577253	0.000458992	0.000467586	9.63E-05	1.54E-05	0	0.0004289	0.000145088	2.86E-05	0.000306523	0.000442291	0.000373829	5.48E-05	0.00122792	0.000677129	6.99E-06	6.11E-06	0.000299835	0.000292737	2.97E-05	0
HISDEG-PWY: L-histidine degradation I	0.00874728	0.00817017	0.00796593	0.00542843	0.0069231	0.0068398	0.00326356	0.00238433	0.00357399	0.00484551	0.00461239	0.00855475	0.00392037	0.0069604	0.00414496	0.00575226	0.00796821	0.00410053	0.00613622	0.00267388	0.00469503	0.00551811	0.0057973	0.00604558	0.00644379	0.00463097	0.0067215	0.00468881	0.000468833	0.00652676	0.00454232	0.00339496	0.00484793	0.00907395	0.00141873	0.00522757	0.0031783	0.00104024	0.00280087	0.00508377	0.00206625	0.00268496	0.00250623	0.00598028	0.00259895	0.0099368	0.0059952	0.00722484	0.00635076	0.00506942	0.00209958	0.00111668	0.00229527	0.00798285	0.00485575	0.00181886	0.00471339	0.00350018	0.00347489	0.0024758	0.00555955	0.0052973	0.00222819	0.0044371	0.00335108	0.00102213	0.00579555	0.000644731	0.0065251	0.00425363	0.00866292	0.00121454	0.00635507	0.0033239	0.00871935	0.004788	0.00441681	0.00281431	0.00574193	0.00549282	0.00785135	0.00207288	0.00749339	0.00457727	0.00120472	0.00628916	0.0115487	0.00381894	0.000962901	0.00386495	0.00732551	0.00263436	0.00325183	0.00381137	0.000991918	0.000952651	0.0072635	0.00361645	0.00138176	0.00671043	0.00400681	0.00433634	0.00679255	0.00103083	0.00490351	0.00424884	0.00757612	0.00119196	0.00357485	0.00701095	0.00766653	0.00149828	0.00348223	0.00368432	0.00150956	0.00957144	0.00572048	0.00226368	0.00855216	0.00720133	0.00255402	0.00455666	0.00191543	0.00387847	0.00647341	0.0029518	0.00918605	0.00559568	0.00607071	0.00311028	0.00563371	0.006014	0.00466538	0.00138549	0.00898771	0.00514521	0.00156692	0.00338548	0.00150577	0.00320266	0.00472091	0.00580202	0.0018196
HISTSYN-PWY: L-histidine biosynthesis	0.00877322	0.00842964	0.00727328	0.0100566	0.0116723	0.00832282	0.00717652	0.0112527	0.00806143	0.00968703	0.0106621	0.0101114	0.00955324	0.00828056	0.00575436	0.00866144	0.00944871	0.0114341	0.0100258	0.00884803	0.0128072	0.00650745	0.00918435	0.00891793	0.00788697	0.00930076	0.00848122	0.00675853	0.0100015	0.00928593	0.00934629	0.010683	0.00610145	0.00963193	0.00396619	0.00927727	0.00702328	0.0131981	0.0066719	0.0104239	0.00838491	0.00957143	0.00375484	0.0105405	0.00974013	0.0108857	0.00726778	0.00695071	0.0100698	0.01124	0.0110208	0.0112111	0.0112536	0.0075889	0.00863778	0.0129583	0.0100027	0.00990063	0.00974891	0.00349193	0.00961425	0.00777481	0.0129837	0.00749993	0.0110054	0.00661285	0.00691192	0.00718035	0.00853284	0.00775159	0.00998698	0.00969557	0.0108756	0.00753884	0.00978796	0.00971829	0.00763451	0.00661843	0.00746728	0.00601566	0.00729425	0.0111337	0.0094765	0.00922227	0.013954	0.00984407	0.00610095	0.00696314	0.012843	0.0070359	0.00561689	0.0106117	0.00968538	0.00953428	0.0118711	0.0130237	0.0081623	0.0116746	0.0122912	0.00867834	0.00947304	0.00961604	0.00798062	0.0109504	0.00896536	0.00654153	0.0102598	0.011221	0.0103168	0.00845488	0.00890749	0.010562	0.00887905	0.0101433	0.0125361	0.0105456	0.00874258	0.0119203	0.00695421	0.0102748	0.00937877	0.00751105	0.00885482	0.00936856	0.00862911	0.0103648	0.0106228	0.00738358	0.00822459	0.0106304	0.0108204	0.00851801	0.0090141	0.00882225	0.00840953	0.00582373	0.00901506	0.00959083	0.0108938	0.00943255	0.00976301	0.00966026	0.0138705
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0.000676278	7.02E-05	0.000494561	2.74E-05	0.000178862	0.000218456	0.00101194	3.74E-05	0.00115867	0.000108284	6.34E-05	5.56E-05	0.000114033	0.00119181	0.0012041	5.10E-05	0.000229759	0	0.000345578	8.95E-05	9.11E-05	0.00101611	0.00022508	0	0.00050706	4.66E-05	0.000467973	0.000673881	0.000135086	0.000202406	0.000146378	0.00032721	0.00136854	0.000183286	0.00399781	0.000323863	0.000975398	9.89E-05	0.00158415	0.000136408	0.000317632	8.71E-05	0.00223747	0.000239676	0.000238839	0.000490252	0.000717696	0.000313395	0.000269413	3.85E-05	0.000169267	0.000585059	0.000355436	0.00025292	0.000172721	6.74E-06	6.09E-05	9.72E-05	0.000238635	0.00317234	0.000102979	0.000868529	0	0.000866714	0.00020823	0.00169402	0.000888026	0.000226195	0.000121066	0.000678039	0	0.00044688	7.19E-05	0.000173162	6.95E-05	0.000120265	0.000192702	0.00175045	0.000863136	0.00133692	0.000445179	3.13E-05	0	0.000217796	7.46E-05	0.000161163	0.000396676	0.0010554	0.000142865	0.00118156	0.000664131	5.20E-05	0.000499341	0.000352131	0.000113472	8.05E-05	0.000797401	0.000156208	0.000150801	0.000415778	0.000903264	8.17E-06	0.00075449	8.63E-05	0.000211332	0.00159342	6.50E-05	1.60E-05	6.22E-05	0.000476886	0	0.000526	4.71E-05	1.65E-05	1.22E-05	0.00015727	0.000419131	0	1.02E-05	6.64E-05	0.000237118	0.000940186	0.000509942	0.000186241	0.00038043	3.19E-05	5.13E-05	3.02E-05	0.000225084	0.000179473	1.10E-05	0.000116688	0.000332055	0.000192748	1.96E-05	0.00153021	0.000539583	6.92E-05	0.000711047	0.000266428	0.000248045	6.63E-05	1.46E-05
HSERMETANA-PWY: L-methionine biosynthesis III	0.00573874	0.00304928	0.00441631	0.00272482	0.00143267	0.00608668	0.00274768	0.00296026	0.00265187	0.00321823	0.00508129	0.0028217	0.00317462	0.00407492	0.00289377	0.00513893	0.00331057	0.00296349	0.00206861	0.00393863	0.00130572	0.00564783	0.00320075	0.00456436	0.00319062	0.0036112	0.00336371	0.00388034	0.00767433	0.00322694	0.00330018	0.00418242	0.00416975	0.00360424	0.00279832	0.00269582	0.00381356	0.00181226	0.00381054	0.00602752	0.00443004	0.00466518	0.0036816	0.00243576	0.00249805	0.00167405	0.00388961	0.00391885	0.00214204	0.00545576	0.00503119	0.0036778	0.00278607	0.00270497	0.00327394	0.00771165	0.00770962	0.00261925	0.00387792	0.00142997	0.00364481	0.00259065	0.00200614	0.00342483	0.0024507	0.00365674	0.00260349	0.00618978	0.00428919	0.00346263	0.00414082	0.00228823	0.00305901	0.00575066	0.00204345	0.00541581	0.00465101	0.00417674	0.00217253	0.00399812	0.0033587	0.00660557	0.00457426	0.00355837	0.00278165	0.0030266	0.00260938	0.00527913	0.00386192	0.0043617	0.00605658	0.00610277	0.0047714	0.00266993	0.00316906	0.00194632	0.00310926	0.00389999	0.0019383	0.00304568	0.00234819	0.00370807	0.00319222	0.00445268	0.00352542	0.00377722	0.00363306	0.00401096	0.00242123	0.00187259	0.00354875	0.0029627	0.00504455	0.00622474	0.00142355	0.00181654	0.00362784	0.00226527	0.00495461	0.00249931	0.00394335	0.0027098	0.00419786	0.00395345	0.00256509	0.00487913	0.00552857	0.00288506	0.00399391	0.00294689	0.00769015	0.00631772	0.00390484	0.0068532	0.00258236	0.00360372	0.00425808	0.00394562	0.00659182	0.00375854	0.00406708	0.00385154	0.00263245
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.00578597	0.00936452	0.00581613	0.00827094	0.0091988	0.00742157	0.0116551	0.015339	0.00794605	0.007337	0.00776802	0.00767592	0.0125169	0.00753642	0.00672971	0.00829317	0.00921076	0.0194434	0.00645976	0.00835226	0.00436529	0.00467666	0.00918435	0.00900635	0.00674893	0.011626	0.00891188	0.00710338	0.0100041	0.00891012	0.0111988	0.0084962	0.00580517	0.00839634	0.00931434	0.00750551	0.0100993	0.0186266	0.00942493	0.0101289	0.00953621	0.00948833	0.00731515	0.00962944	0.0119892	0.00748659	0.00720078	0.00469335	0.00767498	0.00860854	0.00564766	0.019613	0.0121649	0.00810289	0.011087	0.0165551	0.00858438	0.0126315	0.00586483	0.00560906	0.00815485	0.00673994	0.0200282	0.00737828	0.0162707	0.0106051	0.00688072	0.00942421	0.00773712	0.00538709	0.00709851	0.0158297	0.0077071	0.00989438	0.00855425	0.0097686	0.00840299	0.00558902	0.00638268	0.00527523	0.00772219	0.0161902	0.00953425	0.0060033	0.0176281	0.00853889	0.0047006	0.0078128	0.018557	0.00669059	0.00551764	0.014345	0.00738234	0.00916337	0.0185313	0.0196137	0.00621141	0.0144383	0.0186965	0.00742898	0.00653204	0.0103009	0.00801719	0.0164099	0.00837389	0.00594221	0.00804519	0.014616	0.0170916	0.0061707	0.008959	0.0168538	0.00789807	0.0108253	0.0182904	0.00881634	0.00781657	0.0165335	0.0066348	0.00744926	0.0133666	0.00706444	0.0134679	0.00893362	0.00703081	0.0142791	0.0101178	0.00694279	0.00654433	0.00597311	0.00861201	0.00829364	0.00854689	0.00879984	0.00554346	0.00627741	0.0117615	0.00999299	0.0122694	0.0104669	0.00887026	0.00883681	0.0217988
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	7.99E-05	1.07E-05	0.000197184	2.12E-05	3.54E-05	2.92E-05	0.000155079	0	0.000348314	0	8.48E-06	4.40E-06	3.59E-05	0.00032412	0.000383124	3.09E-05	2.18E-05	7.71E-06	7.96E-05	4.03E-05	0	0.000575267	8.26E-05	0	0.000158498	6.63E-06	0.000354329	0.000259851	8.01E-06	8.65E-05	1.54E-05	6.90E-05	0.000394189	2.45E-05	0.00108444	4.83E-05	0.000322908	0	0.000228659	1.91E-05	3.49E-05	9.89E-06	0.000326946	7.96E-05	8.09E-05	0.000108956	0.00018389	7.40E-05	3.90E-05	0	5.82E-05	0.000220684	3.64E-05	4.10E-05	2.45E-05	0	0	2.39E-05	0.000186495	0.000638377	0	0.00014076	1.59E-05	0.000335221	0	0.0004664	0.000192552	2.73E-05	7.98E-06	0.000189989	8.02E-06	0.000168995	0	4.27E-06	2.15E-05	0.000115538	0.000107048	0.000316094	0.000233816	0.000318799	9.81E-05	9.20E-06	0	3.73E-05	1.18E-05	2.22E-05	3.93E-05	0.000220118	6.29E-05	0.000525994	5.68E-05	1.66E-05	0.000135255	0.000102772	3.62E-05	2.57E-05	0.000197117	2.63E-05	2.92E-05	7.19E-05	0.000258275	0	0.000233784	1.14E-05	2.27E-05	0.000507479	0	0	5.73E-05	8.12E-05	0	0.000116637	9.23E-06	0	0	7.95E-06	5.96E-05	0	3.81E-06	5.84E-06	1.99E-05	0.000214974	0.000100159	3.01E-05	9.87E-05	1.63E-05	0	0	1.13E-05	2.39E-05	0	1.76E-05	7.74E-05	7.87E-05	5.15E-06	0.000426522	0.000228343	0	0	5.67E-05	9.49E-05	0	0
KETOGLUCONMET-PWY: ketogluconate metabolism	0.000126098	4.59E-05	0.000214691	1.84E-05	1.49E-05	0.000190688	0.000671161	2.84E-06	0.000367473	3.91E-06	5.20E-06	1.66E-05	4.98E-05	0.000498514	0.00031714	7.61E-06	0.000199206	0	3.47E-05	1.24E-05	2.67E-05	0.000423113	0	0	0.000236148	2.37E-05	0.000278623	4.76E-05	2.48E-05	0.000102155	9.97E-06	5.00E-05	0.000348698	0.000116172	0.00366879	3.33E-05	0.000661505	3.38E-05	0.000577514	1.83E-05	1.05E-05	1.07E-05	0.00131405	5.53E-05	3.54E-05	0.000121081	0.000388267	0.000149982	0.000138137	2.62E-06	4.72E-05	0.000169368	0.000266962	0.000304676	1.14E-05	0	3.49E-06	5.82E-05	0.000104561	0.0013823	7.16E-06	0.00032556	0	0.000229858	5.31E-06	0.000384091	0.000213403	0.000160882	8.19E-06	0.000225229	2.65E-06	8.65E-05	2.41E-05	3.01E-05	4.84E-05	3.37E-05	0.000111451	0.000150019	0.00119345	0.00151768	3.39E-05	3.89E-05	0	1.73E-05	1.19E-05	0	0.000212843	0.000646335	0.000116156	0	0.000125529	1.41E-05	0.00041508	4.81E-05	7.01E-06	1.52E-05	0.000731195	1.88E-05	3.27E-05	0.000225251	0.000821769	0	0.000384318	4.11E-05	3.77E-05	0.000916796	2.65E-05	0	3.87E-05	0.000313258	0	3.59E-05	3.79E-06	7.12E-05	0	0.000118135	6.08E-05	2.00E-05	6.56E-06	5.22E-05	5.34E-05	0.000731253	7.46E-05	0.000355328	0.000157973	1.39E-05	3.02E-06	4.53E-06	0.00030165	1.81E-05	8.06E-06	3.98E-05	1.48E-05	0.000134708	1.01E-05	0.000483302	0.000161497	3.14E-05	2.70E-05	3.68E-05	0.000106588	0	2.54E-06
